average_elo,encoded_pgn
1909.5,878 722 1857 1801 1917 1265 1664 647 1306 960 368 1856 787 889 549 579 455 817 2063 770 516 1346 1235 740 915 915 35 1306 1725 624 981 1515 2052 1320 1857 1908 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1722.5,878 1346 42 1959 998 953 1857 1502 334 995 35 506 528 551 1053 111 366 2020 350 1484 1275 1850 1807 1231 1909 1676 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1976.0,878 757 1857 234 368 787 801 506 998 1801 146 117 1081 995 246 1900 1411 1863 615 1275 481 42 173 1657 817 1230 1792 1053 1614 233 757 988 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1883.0,878 722 1857 506 679 234 1857 1313 998 1154 214 960 35 817 528 1801 1411 812 1053 1657 679 359 1707 432 615 381 366 1952 350 163 1909 714 1232 563 1116 812 2014 302 551 432 1786 726 1834 1216 172 1127 1858 955 1419 163 770 1911 433 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1911.0,878 506 722 481 368 234 1857 1230 1036 1502 817 1427 1427 359 359 995 1614 1723 615 1852 998 1462 374 412 862 907 171 817 2061 571 1873 1765 742 2047 369 603 337 1954 2063 551 544 1998 1301 1161 146 1419 1910 1107 947 1692 1911 2014 399 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1869.5,878 1346 42 506 368 1230 752 1745 1614 1502 998 242 1411 1572 1259 740 1160 995 146 960 1053 817 1707 1801 1479 1505 1983 1646 528 71 777 1349 1725 529 1154 481 136 42 2059 953 626 1005 1540 1010 1010 1392 615 1010 1419 1045 366 1191 350 770 1909 1863 1958 953 1116 1888 1732 1587 2016 1191 1249 344 45 1906 2016 1191
1907.5,878 757 1857 995 368 787 801 1801 998 1462 1420 1863 599 1685 1050 2020 1896 551 146 1952 35 234 1053 1176 1733 1505 1910 395 1036 817 366 1175 350 2014 399 399 35 770 2042 90 1707 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1920.0,878 757 1857 234 368 787 801 506 998 1863 146 1475 1917 412 851 1764 697 922 1053 770 246 936 2059 1664 481 388 42 551 322 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1886.5,878 757 1857 234 368 787 801 506 998 1801 146 995 528 960 1053 412 1910 1176 246 1900 302 722 481 560 1954 1964 16 1953 1739 1856 896 509 1495 1320 1036 567 198 733 452 1535 1633 1346 33 1265 611 1178 316 1127 388 1225 1848 1392 1725 938 374 1264 1503 907 171 1969 201 778 1495 1375 614 416 742 801 1127 661
1892.5,878 995 334 1346 2052 506 999 757 1927 1801 591 960 817 1320 722 240 1264 412 615 922 807 770 1306 2014 1614 740 740 1909 556 1960 862 783 992 1952 1467 1756 32 1694 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2157.0,878 757 1857 1801 368 787 801 551 1614 111 35 506 998 817 1036 234 817 1176 1183 1505 528 1320 752 1657 1112 412 879 1863 1646 629 1716 1045 1770 432 1887 656 1739 1873 481 136 242 476 1954 1954 1554 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1876.0,878 1346 42 1959 998 2016 1036 1502 1857 412 368 506 817 995 1264 783 1346 757 1726 129 1917 817 1420 648 901 117 129 1713 998 1801 1138 978 1937 1557 481 1045 1614 885 35 947 1834 262 1436 1183 1301 464 753 1692 752 1320 1112 770 1264 1392 1183 1 283 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1854.5,878 1502 998 1346 1857 473 1313 506 734 530 368 551 1945 111 1917 817 817 240 1306 1723 851 1745 862 2014 35 481 118 742 1264 1392 1614 1887 1828 953 1186 1186 369 1962 1983 1490 407 1191 1745 412 1264 288 889 1533 609 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1714.0,878 722 1857 1346 679 1462 42 506 1036 136 817 817 1306 624 368 1764 284 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1842.5,878 757 1857 551 1614 111 368 787 801 1801 35 506 998 234 1036 1657 817 1863 1945 989 1910 2047 1848 817 1664 1598 528 722 1169 2020 1055 1992 8 1657 1050 1050 32 701 992 812 1314 1764 722 510 1597 353 1791 859 333 1997 1275 1409 1200 679 1669 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1808.5,878 757 1857 995 368 1346 42 42 1167 1801 817 783 1614 740 1346 1863 356 1551 476 1646 998 1183 9 648 396 762 598 328 234 817 1380 432 1717 1054 862 1183 783 1045 1147 885 1203 787 1924 334 448 770 1112 432 549 231 151 860 1560 1306 231 538 1890 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
2112.5,878 757 1857 234 368 787 801 506 998 1863 146 995 1910 960 697 412 1053 1475 1909 1764 246 936 2014 240 302 969 1707 1657 2063 1045 1713 817 751 35 453 1349 481 1652 1669 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1811.0,878 722 1857 506 679 234 1857 1313 998 1154 214 1801 35 1230 528 1427 719 960 1053 1911 1707 953 366 1863 1608 1045 1540 817 1350 551 350 1657 2015 1870 674 955 1983 1423 812 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1796.0,878 722 1857 783 1917 506 368 1856 722 889 1306 214 171 2020 343 916 118 1160 530 1900 1162 641 998 234 1275 1176 481 1845 734 1953 639 50 1421 1713 817 243 1747 2047 992 503 862 421 900 350 366 1346 1915 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1808.5,878 234 368 506 1411 1475 1306 722 1857 770 817 1502 230 960 1264 2014 359 359 1969 412 1375 1011 1917 573 249 1265 836 1764 83 812 308 1127 1588 288 679 1191 2061 783 1857 1909 885 1599 1927 1177 1917 350 1781 1723 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1809.5,878 722 1857 1801 1917 1265 1664 647 1306 624 368 1856 817 214 249 506 814 1191 722 2020 285 234 1917 679 679 1419 1910 870 332 1200 894 1670 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1734.5,878 506 722 1525 368 1346 1219 757 1380 777 1857 787 1167 1176 1675 639 927 1911 1099 328 817 817 1306 1392 1983 1505 35 560 1794 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
